Train,Time,Track,Station,Accessible
Boston,10:51 AM,Track 4,30th Street Station Philadelphia,True
New York,10:53 AM,Track 9,30th Street Station Philadelphia,True
Washington,10:56 AM,Track 7,30th Street Station Philadelphia,True
New York,11:02 AM,Track 4,30th Street Station Philadelphia,True
Atlantic City,11:06 AM,Track,30th Street Station Philadelphia,True
Washington,11:07 AM,Track 5,30th Street Station Philadelphia,True
New York ✈,11:30 AM,Track 4,30th Street Station Philadelphia,True
New York,11:50 AM,Track 9,30th Street Station Philadelphia,True
Norfolk,12:00 PM,Track 5,30th Street Station Philadelphia,True
New York,12:04 PM,Track 4,30th Street Station Philadelphia,True
Washington,12:08 PM,Track 5,30th Street Station Philadelphia,True
New York,12:14 PM,Track 4,30th Street Station Philadelphia,True
Washington,12:34 PM,Track 5,30th Street Station Philadelphia,True
Boston ✈,12:35 PM,Track 4,30th Street Station Philadelphia,True
Atlantic City,12:58 PM,Track,30th Street Station Philadelphia,True
Newport News,1:03 PM,Track 6,30th Street Station Philadelphia,True
Baltimore,1:08 PM,Track 5,30th Street Station Philadelphia,True
New York ✈,1:08 PM,Track 4,30th Street Station Philadelphia,True
Washington,1:45 PM,Track 5,30th Street Station Philadelphia,True
Long Branch,10:55 AM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,11:22 AM,Track 2,Aberdeen Matawan Station,True
Long Branch,11:51 AM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,12:19 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,12:34 PM,Track 1,Aberdeen Matawan Station,True
Long Branch,1:15 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,1:19 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,1:53 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,2:20 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,2:51 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,3:17 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,3:52 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,4:11 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,4:40 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,5:11 PM,Track 2,Aberdeen Matawan Station,True
Bay Head,5:29 PM,Track 1,Aberdeen Matawan Station,True
Bay Head,6:00 PM,Track 1,Aberdeen Matawan Station,True
New York -SEC ✈,6:04 PM,Track 2,Aberdeen Matawan Station,True
Long Branch,6:24 PM,Track 1,Aberdeen Matawan Station,True
Atlantic City,"10:36 AM
           in 14 Min",Track Single,Absecon Station,True
Philadelphia,12:15 PM,Track Single,Absecon Station,True
Atlantic City,12:28 PM,Track Single,Absecon Station,True
Philadelphia,2:06 PM,Track Single,Absecon Station,True
Atlantic City,2:19 PM,Track Single,Absecon Station,True
Philadelphia,3:58 PM,Track Single,Absecon Station,True
Atlantic City,4:11 PM,Track Single,Absecon Station,True
Philadelphia,5:10 PM,Track Single,Absecon Station,True
Atlantic City,6:03 PM,Track Single,Absecon Station,True
