name,is_accessible
Nearby Stations,False
30th Street Station Philadelphia,True
Aberdeen Matawan Station,True
Absecon Station,True
Allendale Station,False
Allenhurst Station,False
Anderson Street Station,False
Annandale Station,False
Asbury Park Station,True
Atco Station,True
Atlantic City Rail Terminal,True
Avenel Station,False
Basking Ridge Station,False
Bay Head Station,False
Bay Street Station,True
Belmar Station,False
Berkeley Heights Station,False
Bernardsville Station,False
Bloomfield Rail Station,False
Boonton Station,True
Bound Brook Station,False
Bradley Beach Station,False
Brick Church Station,False
Bridgewater Station,False
Broadway Station Fair Lawn,False
Campbell Hall Station,True
Chatham Station,False
Cherry Hill Station,True
Clifton Station,False
Convent Station,False
Cranford Station,True
Delawanna Station,False
Denville Station,True
Dover Station,True
Dunellen Station,False
East Orange Station,True
Edison Station,True
Egg Harbor City Station,True
Elberon Station,True
Elizabeth Station,True
Emerson Station,False
Essex Street Station (PVL),True
EWR Newark Airport Station,True
Fanwood Station,False
Far Hills Station,False
Garfield Station,True
Garwood Station,False
Gillette Station,False
Gladstone Station,True
Glen Ridge Station,False
Glen Rock Boro Hall Station,True
Glen Rock Main Line Station,False
Hackettstown Station,True
Hamilton Station,True
Hammonton Station,True
Harriman Station,True
Hawthorne Station,False
Hazlet Station,True
High Bridge Station,False
Highland Avenue Station,False
Hillsdale Station,False
Ho-Ho-Kus Station,False
Hoboken Terminal,True
Jersey Avenue Station (Northeast Corridor),False
Lake Hopatcong Station,False
Lebanon Station,False
Liberty International Airport,True
Lincoln Park Station,False
Linden Station,True
Lindenwold Station,True
Little Falls Station,False
Little Silver Station,False
Long Branch Station,True
Lyndhurst Station,True
Lyons Station,True
Madison Station,True
Mahwah Station,False
Manasquan Station,False
Maplewood Station,False
Matawan Station,True
Meadowlands Rail Station,True
MetLife Stadium,True
Metropark Station,True
Metuchen Station,True
Middletown New Jersey Station,True
Middletown New York Station,True
Millburn Station,False
Millington Station,False
Monmouth Park Station,False
Montclair Heights Station,True
Montclair State University Station,True
Montvale Station,True
Morris Plains Station,False
Morristown Station,True
Mount Arlington Station,True
Mount Olive Station,True
Mount Tabor Station,False
Mountain Avenue Station,False
Mountain Lakes Station,False
Mountain Station,False
Mountain View Station,True
MSU Station,True
Mt. Olive Station,True
Murray Hill Station,False
Nanuet Station,True
Netcong Station,False
Netherwood Station,False
New Bridge Landing Station,False
New Brunswick Station,True
New Providence Station,False
New York Penn Station,True
Newark Airport Rail Station,True
Newark Broad Street Station,True
Newark Liberty International Airport,True
Newark Penn Station,True
North Branch Station,False
North Elizabeth Station,True
NY Penn Station,True
Oradell Station,False
Orange Station,False
Otisville Station,False
Park Ridge Station,True
Passaic Station,False
Paterson Station,True
Peapack Station,False
Pearl River Station,False
Penn Station New York,True
Penn Station Newark,True
Pennsauken Transit Center Station,True
Perth Amboy Station,False
Philadelphia 30th Street Station,True
Plainfield Station,True
Plauderville Station,True
Point Pleasant Beach Station,True
Port Jervis Station,False
Princeton Junction Station,True
Princeton Station,True
Radburn Station,False
Rahway Station,True
Ramsey Main Street Station,True
Ramsey Route 17 Station,True
Raritan Station,False
Red Bank Station,True
Ridgewood Station,False
River Edge Station,False
Roselle Park Station,False
Rutherford Station,False
Salisbury Mills Cornwall Station,True
Secaucus Junction Lower Level,True
Secaucus Junction Upper Level,True
Short Hills Station,False
Sloatsburg Station,False
Somerville Station,True
South Amboy Station,True
South Orange Station,True
Spring Lake Station,False
Spring Valley Station,True
Stirling Station,False
Suffern Station,False
Summit Station,True
Teterboro Station,False
Towaco Station,True
Trenton Transit Center,True
Tuxedo Station,False
Union Station,True
Upper Montclair Station,False
Waldwick Station,False
Walnut Street Station,False
Watchung Avenue Station,False
Watsessing Avenue Station,False
Wayne/Route 23 Transit Center Rail Station,True
Wesmont Station,True
Westfield Station,True
Westwood Station,True
White House Station,False
Wood Ridge Station,False
Woodbridge Station,True
Woodcliff Lake Station,False
